Full name of agency,Total reported,Country,Year,ISO Code,Start Date,End Date,Agency type,ID number (if applicable),From
BIRIM NORTH ASSEMBLY,434500,Ghana,2018,GHA,2018/01/01,2018/12/31,Local government,,Part 4
AMANSIE SOUTH DISTRICT ASSEMLY,241900,Ghana,2018,GHA,2018/01/01,2018/12/31,Local government,,Part 4
BIBIANI/AHWIASO DISTRICT ASSEMBLY,,Ghana,2019,GHA,2019/01/01,2019/12/31,Local government,,Part 4
BIRIM NORTH DISTRICT ASSEMBLY ASSEMBLY,,Ghana,2019,GHA,2019/01/01,2019/12/31,Local government,,Part 4
TARKWA NSUAEM,,Ghana,2019,GHA,2019/01/01,2019/12/31,Local government,,Part 4
PRESTEA HUNI VALLEY,,Ghana,2019,GHA,2019/01/01,2019/12/31,Local government,,Part 4
SEFWI DISTRICT ASSEMBLY,,Ghana,2019,GHA,2019/01/01,2019/12/31,Local government,,Part 4
BIRIM NORTH ASSEMBLY,,Ghana,2019,GHA,2019/01/01,2019/12/31,Local government,,Part 4
AMANSIE SOUTH DISTRICT ASSEMLY,,Ghana,2019,GHA,2019/01/01,2019/12/31,Local government,,Part 4
DEPARTMENT OF ENERGEY (DOE),29578003901.61,Philippines,2018,PHL,2018/01/01,2018/12/31,Central goverment,000-478-629,Part 4
MINERAL RESOURCES AND PETROLEUM AUTHORITY,282788326000,Mongolia,2018,MNG,1/1/2018,12/31/2018,State government,5323533,Part 4
"EMPRESA NACIONAL DE HIDROCARBONETOS, EP (ENH)",3527636.7,Mozambique,2019,MOZ,1/1/2019,12/31/2019,State-owned enterprises & public corporations,600000241,Part 4
COMMISSARIAT DES IMPOTS (CI),7670564536,Togo,2017,TGO,2017/01/01,2017/12/31,Central goverment,Not applicable,Part 4
DIRECTION GENERALE DU TRESOR ET DE LA COMPTABILITE PUBLIQUE (DGTCP),332700000,Togo,2017,TGO,2017/01/01,2017/12/31,Central goverment,Not applicable,Part 4
DIRECTION GENERALE DES MINES ET DE LA GEOLOGIE (DGMG),1959455741,Togo,2017,TGO,2017/01/01,2017/12/31,Central goverment,Not applicable,Part 4
DIRECTION GENERALE DU TRAVAIL ET DE LOIS SOCIALES (DGTLS),189783,Togo,2017,TGO,2017/01/01,2017/12/31,Central goverment,Not applicable,Part 4
CAISSE NATIONALE DE SECURITE SOCIALE (CNSS),1561220340,Togo,2017,TGO,2017/01/01,2017/12/31,Central goverment,Not applicable,Part 4
NIGERIA NATIONAL PETROLEUM CORPORATION,933210229.58,Nigeria,2017,NGA,1/1/2017,12/31/2017,State-owned enterprises & public corporations,Not available,Part 4
NIGERIA CONTENT DEVELOPMENT MONITORING BOARD,99609247.33,Nigeria,2017,NGA,1/1/2017,12/31/2017,Central goverment,Not available,Part 4
TOGOLAISE DES EAUX (TDE),,Togo,2018,TGO,2018/01/01,2018/12/31,Central government,,Part 4
OFFICE NATIONALE POUR L'ENVIRONNEMENT,282766719,Madagascar,2017,MDG,1/1/2017,12/31/2017,State-owned enterprises & public corporations,,Part 4
OFFICE NATIONALE POUR L'ENVIRONNEMENT,470473460.1,Madagascar,2018,MDG,1/1/2018,12/31/2018,State-owned enterprises & public corporations,,Part 4
LIBERIA REVENUE AUTHORITY -LRA,58591685,Liberia,2018,LBR,7/1/2017,6/30/2018,Central goverment,Not applicable,Part 4
NATIONAL PORT AUTHORITY -NPA,1939667,Liberia,2018,LBR,7/1/2017,6/30/2018,State government,Not applicable,Part 4
NATIONAL OIL COMPANY OF LIBERIA -NOCAL,759222,Liberia,2018,LBR,7/1/2017,6/30/2018,State-owned enterprises & public corporations,Not applicable,Part 4
ENVIRONMENTAL PROTECTION AUTHORITY - EPA,229184,Liberia,2018,LBR,7/1/2017,6/30/2018,State government,Not applicable,Part 4
LIBERIA CIVIL AVIATION AUTHORITY -LCAA,8680,Liberia,2018,LBR,7/1/2017,6/30/2018,State government,Not applicable,Part 4
STATE OIL MARKETING COMPANY,,Iraq,2017,IRQ,1/1/2017,12/31/2017,Public corporations & state-owned enterprises,Not applicable,Part 4
ZCCM- IH,758327248.44,Zambia,2018,ZMB,2018/01/01,2018/12/31,State-owned enterprises & public corporations,1001761145,Part 4
IDC,69205641.67,Zambia,2018,ZMB,2018/01/01,2018/12/31,Other,,Part 4
MOF,23178861.72,Zambia,2018,ZMB,2018/01/01,2018/12/31,Central goverment,,Part 4
ZCCM INVESTMENTS HOLDINGS PLC (ZCCM- IH),,Zambia,2019,ZMB,2019/01/01,2019/12/31,State-owned enterprises & public corporations,1001761145,Part 4
"SECRETARÍA DE MINERÍA (SEMIN), MINISTERIO DE DESARROLLO PRODUCTIVO",,Argentina,2018,ARG,2018/01/01,2018/12/31,Central government,,Part 4
"SECRETARÍA DE CONTROL Y MONITOREO AMBIENTAL, MINISTERIO DE AMBIENTE Y DESARROLLO SUSTENTABLE",1103957.42,Argentina,2018,ARG,2018/01/01,2018/12/31,Central government,,Part 4
FONDS D'INTERVENTION POUR L'ENVIRONNEMENT (FIE) (PAIEMENTS ENVIRONNEMENTAUX),4422649722,Burkina Faso,2018,BFA,2018/01/01,2018/12/31,Other,,Part 4
FONDS D'INTERVENTION POUR L'ENVIRONNEMENT (FIE) (PAIEMENTS ENVIRONNEMENTAUX),4263702851,Burkina Faso,2019,BFA,2019/01/01,2019/12/31,Central goverment,<Use Legal Entity Identifier if available>,Part 4
SECRETARÍA DE CONTROL Y MONITOREO AMBIENTAL MINISTERIO DE AMBIENTE Y DESARROLLO SUSTENTABLE,1103957.42,Argentina,2018,,,,,,Part 3
SECRETARÍA DE MINERÍA (SEMIN) MINISTERIO DE DESARROLLO PRODUCTIVO,0.0,Argentina,2018,,,,,,Part 3
FONDS D'INTERVENTION POUR L'ENVIRONNEMENT (FIE),4422649722.0,Burkina Faso,2018,,,,,,Part 3
FONDS D'INTERVENTION POUR L'ENVIRONNEMENT (FIE),4263702851.0,Burkina Faso,2019,,,,,,Part 3
AUTRES,75657609.0,Cote d'Ivoire,2017,,,,,,Part 3
SOCIÉTÉ NATIONALE D'OPÉRATIONS PÉTROLIÈRES DE CÔTE D'IVOIRE (PETROCI),107485996398.0,Cote d'Ivoire,2017,,,,,,Part 3
SOCIÉTÉ POUR LE DÉVELOPPEMENT MINIER DE LA CÔTE D'IVOIRE (SODEMI),33078242200.0,Cote d'Ivoire,2017,,,,,,Part 3
DIRECTION DES RECETTES PROVINCIALES,356638875.24,Democratic Republic of Congo,2017,,,,,,Part 3
MINISTERIO DE ENERGÍA Y MINAS (MEM),500991436.0,Dominican Republic,2018,,,,,,Part 3
MINISTERIO DE ENERGÍA Y MINAS (MEM),103364961.0,Dominican Republic,2019,,,,,,Part 3
MINISTERIO DE ENERGÍA Y MINAS (MEM),57327767.0,Dominican Republic,2020,,,,,,Part 3
AMANSIE SOUTH DISTRICT ASSEMBLY,241900.0,Ghana,2017,,,,,,Part 3
BIRIM NORTH DISTRICT ASSEMBLY,434500.0,Ghana,2017,,,,,,Part 3
PRESTEA HUNI VALLEY DISTRICT ASSEMBLY,126556.0,Ghana,2017,,,,,,Part 3
SEFWI WIASO DISTRICT ASSEMBLY,130563.0,Ghana,2017,,,,,,Part 3
TARKWA NSUAEM MUNICIPAL ASSEMBLY,470801.0,Ghana,2017,,,,,,Part 3
AMANSIE SOUTH DISTRICT ASSEMBLY,241900.0,Ghana,2018,,,,,,Part 3
BIBIANI /AHWIASO /BEKWAI DISTRICT ASSEMBLY,0.0,Ghana,2018,,,,,,Part 3
BIRIM NORTH DISTRICT ASSEMBLY,434500.0,Ghana,2018,,,,,,Part 3
PRESTEA HUNI VALLEY DISTRICT ASSEMBLY,126556.0,Ghana,2018,,,,,,Part 3
SEFWI WIASO DISTRICT ASSEMBLY,130563.0,Ghana,2018,,,,,,Part 3
TARKWA NSUAEM MUNICIPAL ASSEMBLY,470801.82,Ghana,2018,,,,,,Part 3
BIRIM NORTH DISTRICT ASSEMBLY,288082.0,Ghana,2019,,,,,,Part 3
STATE OIL MARKETING COMPANY (SOMO),0.0,Iraq,2017,,,,,,Part 3
ENVIRONMENTAL PROTECTION AUTHORITY (EPA),614553.0,Liberia,2018,,,,,,Part 3
LIBERIA CIVIL AVIATION AUTHORITY (LCAA),8680.0,Liberia,2018,,,,,,Part 3
LIBERIA REVENUE AUTHORITY (LRA),32737656.0,Liberia,2018,,,,,,Part 3
NATIONAL OIL COMPANY OF LIBERIA (NOCAL),375000.0,Liberia,2018,,,,,,Part 3
NATIONAL PORT AUTHORITY (NPA),1987696.0,Liberia,2018,,,,,,Part 3
OFFICE NATIONAL POUR L'ENVIRONNEMENT,282766719.0,Madagascar,2017,,,,,,Part 3
OFFICE NATIONAL POUR L'ENVIRONNEMENT,470473460.0,Madagascar,2018,,,,,,Part 3
MINERAL RESOURCES AND PETROLEUM AUTHORITY OF MONGOLIA,282788326000.0,Mongolia,2018,,,,,,Part 3
EMPRESA NACIONAL DE HIDROCARBONETOS EP (ENH),3527636.7,Mozambique,2019,,,,,,Part 3
NIGERIAN CONTENT DEVELOPMENT AND MONITORING BOARD (NCDMB),99609247.0,Nigeria,2017,,,,,,Part 3
NIGERIAN NATIONAL PETROLEUM CORPORATION (NNPC),933210229.58,Nigeria,2017,,,,,,Part 3
DEPARTMENT OF ENERGY (DOE),29578003901.61,Philippines,2018,,,,,,Part 3
MINES AND GEOSCIENCES BUREAU (MGB),1187312323.37,Philippines,2018,,,,,,Part 3
NATIONAL COMMISSION ON INDIGENOUS PEOPLE (NCIP),58010632.42,Philippines,2018,,,,,,Part 3
PHILIPPINE PORTS AUTHORITY (PPA),278761471.04,Philippines,2018,,,,,,Part 3
OTHER GOVT. AGENCY,0.0,Tanzania,2018,,,,,,Part 3
CAISSE NATIONALE DE SÉCURITÉ SOCIALE (CNSS),1561220340.0,Togo,2017,,,,,,Part 3
COMMISSARIAT DES IMPÔTS (CI),7670564536.0,Togo,2017,,,,,,Part 3
DIRECTION GÉNÉRALE DES MINES ET DE LA GÉOLOGIE (DGMG),1959455741.0,Togo,2017,,,,,,Part 3
DIRECTION GÉNÉRALE DU TRAVAIL ET DE LOIS SOCIALES (DGTLS),189783.0,Togo,2017,,,,,,Part 3
DIRECTION GÉNÉRALE DU TRÉSOR ET DE LA COMPTABILITÉ PUBLIQUE (DGTCP),332700000.0,Togo,2017,,,,,,Part 3
SOCIETE TOGOLAISE DES EAUX (TDE),0.0,Togo,2018,,,,,,Part 3
INDUSTRIAL DEVELOPMENT CORPORATION (IDC),69205641.67,Zambia,2018,,,,,,Part 3
MINISTRY OF FINANCE (MOF),23178861.72,Zambia,2018,,,,,,Part 3
ZAMBIA CONSOLIDATED COPPER MINES – INVESTMENT HOLDINGS PLC (ZCCM- IH),758327248.44,Zambia,2018,,,,,,Part 3
ZAMBIA CONSOLIDATED COPPER MINES – INVESTMENT HOLDINGS PLC (ZCCM- IH),0.0,Zambia,2019,,,,,,Part 3
